Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018
Inflation Rate (%),3.8,4.7,3.1,2.6,3.6,0.7,1.3,2.9,5.2
Consumer Price Index (%),92.6,97,100,102.6,106.3,107,108.4,111.5,117.3
