DATE,AVHWPEPHA065NRUG
1970-01-01,2112.945759816869
1971-01-01,2115.5514123555595
1972-01-01,2117.795544560242
1973-01-01,2107.331956133829
1974-01-01,2117.800085702454
1975-01-01,2121.594898882761
1976-01-01,2123.8084021632253
1977-01-01,2159.9517249805126
1978-01-01,2135.3418014047215
1979-01-01,2134.4642444344836
1980-01-01,2133.512799809456
1981-01-01,2134.425822131473
1982-01-01,2130.363930526609
1983-01-01,2140.7236290926403
1984-01-01,2171.5496359995755
1985-01-01,2172.676250901956
1986-01-01,2170.5094475084193
1987-01-01,2179.3062991407865
1988-01-01,2187.5865924712043
1989-01-01,2197.496131822487
1990-01-01,2191.850747343778
1991-01-01,2176.2502199528676
1992-01-01,2176.111047856178
1993-01-01,2136.0936408005905
1994-01-01,2149.9868995685524
1995-01-01,2130.2139408809444
1996-01-01,2094.3843169278302
1997-01-01,2146.593527783046
1998-01-01,2105.0267049678946
1999-01-01,2115.5798734770387
2000-01-01,2160.45367914906
2001-01-01,2067.629909109617
2002-01-01,2061.255750781718
2003-01-01,2077.352581034764
2004-01-01,2084.0079979122675
2005-01-01,2103.090545291369
2006-01-01,2077.1858338312572
2007-01-01,2092.1142144980226
2008-01-01,2112.7790903090486
2009-01-01,2117.418143236074
2010-01-01,2124.3797691133623
2011-01-01,2127.2083058184553
2012-01-01,2131.924879787234
2013-01-01,2140.264877223359
2014-01-01,2142.9832131122093
2015-01-01,2149.714226603477
2016-01-01,2159.475030733206
2017-01-01,2168.296500471067
2018-01-01,2168.296500471067
2019-01-01,2168.296500471067
